sitrep_n,idx,fecha_corte,departamento_literal,municipio_literal,municipio_slug,nombre_ips,nivel_complejidad,observacion,first_seen
1,11,2026-08-10,Valle del Cauca,Cali,cali,Hospital Universitario del Valle,Nivel 3,Colapso estructural de una parte de una torre.,2026-08-30T11:06:30Z
1,12,2026-08-10,Valle del Cauca,Cali,cali,Clínica Valle Salud,Por confirmar,Daños por confirmar,2026-08-30T11:06:30Z
1,13,2026-08-10,Valle del Cauca,Cali,cali,Fundación Valle del Lili,Nivel 4,Daños no estructurales,2026-08-30T11:06:30Z
1,14,2026-08-10,Valle del Cauca,Cali,cali,Clínica Rey David,Nivel 3,Daños en tanques de almacenamiento de agua,2026-08-30T11:06:30Z
1,15,2026-08-10,Valle del Cauca,Cali,cali,Clínica Nuestra,Nivel 3,Daños estructurales; evacuación total,2026-08-30T11:06:30Z
1,16,2026-08-10,Valle del Cauca,Cali,cali,Clínica de Colores,Por confirmar,Daños no estructurales (no tiene habilitado servicio de urgencias),2026-08-30T11:06:30Z
1,17,2026-08-10,Valle del Cauca,Cali,cali,Hospital Isaías Duarte Cancino,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:30Z
1,18,2026-08-10,Valle del Cauca,Cali,cali,Clínica Sanitas,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:30Z
1,19,2026-08-10,Valle del Cauca,Cali,cali,Hospital San Juan de Dios,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:30Z
1,20,2026-08-10,Valle del Cauca,Cali,cali,Hospital Departamental Mario Correa Rengifo,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:30Z
2,16,2026-08-10,Valle del Cauca,Cali,cali,Hospital Universitario del Valle,Nivel 3,Colapso estructural de una parte de una torre.,2026-08-30T11:06:31Z
2,17,2026-08-10,Valle del Cauca,Cali,cali,Clínica Valle Salud,Por confirmar,Daños por confirmar,2026-08-30T11:06:31Z
2,18,2026-08-10,Valle del Cauca,Cali,cali,Fundación Valle del Lili,Nivel 4,Daños no estructurales,2026-08-30T11:06:31Z
2,19,2026-08-10,Valle del Cauca,Cali,cali,Clínica Rey David,Nivel 3,Daños en tanques de almacenamiento de agua,2026-08-30T11:06:31Z
2,20,2026-08-10,Valle del Cauca,Cali,cali,Clínica Nuestra,Nivel 3,Daños estructurales; evacuación total,2026-08-30T11:06:31Z
2,21,2026-08-10,Valle del Cauca,Cali,cali,Clínica de Colores,Por confirmar,Daños no estructurales (no tiene habilitado servicio de urgencias),2026-08-30T11:06:31Z
2,22,2026-08-10,Valle del Cauca,Cali,cali,Hospital Isaías Duarte Cancino,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:31Z
2,23,2026-08-10,Valle del Cauca,Cali,cali,Clínica Sanitas,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:31Z
2,24,2026-08-10,Valle del Cauca,Cali,cali,Hospital San Juan de Dios,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:31Z
2,25,2026-08-10,Valle del Cauca,Cali,cali,Hospital Departamental Mario Correa Rengifo,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:31Z
3,16,2026-08-11,Valle del Cauca,Cali,cali,Hospital Universitario del Valle,Nivel 3,Colapso estructural de una parte de una torre.,2026-08-30T11:06:32Z
3,17,2026-08-11,Valle del Cauca,Cali,cali,Clínica Valle Salud,Por confirmar,Daños por confirmar,2026-08-30T11:06:32Z
3,18,2026-08-11,Valle del Cauca,Cali,cali,Fundación Valle del Lili,Nivel 4,Daños no estructurales,2026-08-30T11:06:32Z
3,19,2026-08-11,Valle del Cauca,Cali,cali,Clínica Rey David,Nivel 3,Daños en tanques de almacenamiento de agua,2026-08-30T11:06:32Z
3,20,2026-08-11,Valle del Cauca,Cali,cali,Clínica Nuestra,Nivel 3,Daños estructurales; evacuación total,2026-08-30T11:06:32Z
3,21,2026-08-11,Valle del Cauca,Cali,cali,Clínica de Colores,Por confirmar,Daños no estructurales (no tiene habilitado servicio de urgencias),2026-08-30T11:06:32Z
3,22,2026-08-11,Valle del Cauca,Cali,cali,Hospital Isaías Duarte Cancino,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:32Z
3,23,2026-08-11,Valle del Cauca,Cali,cali,Clínica Sanitas,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:32Z
3,24,2026-08-11,Valle del Cauca,Cali,cali,Hospital San Juan de Dios,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:32Z
3,25,2026-08-11,Valle del Cauca,Cali,cali,Hospital Departamental Mario Correa Rengifo,Nivel 2,"Afectación no estructural, pendiente evaluación",2026-08-30T11:06:32Z
